reason,R,side,exit,entry,time,partial,partial_pct,strategy,regime,session,mfe_R,mae_R
TP,-4.462812,long,117889.07675307714,117830.0,2025-07-13 11:17:00+00:00,False,1.0,TrendStrategy,trend,EU,3.737510755062384,0.0
SL,-1.651394,long,118380.1,118380.1,2025-07-13 13:03:00+00:00,False,1.0,TrendStrategy,trend,EU,1.5124047388208142,-0.5417222200542927
SL,-2.616405,long,118796.80667570479,118885.0,2025-07-13 16:24:00+00:00,False,1.0,TrendStrategy,trend,US,0.0,-1.224582482439367
SL,-3.499156,long,118842.93613541826,118900.0,2025-07-13 18:40:00+00:00,False,1.0,TrendStrategy,trend,US,1.3528701668884826,-1.386166194312058
SL,-3.226823,long,119247.93916099211,119312.2,2025-07-13 20:35:00+00:00,False,1.0,TrendStrategy,trend,US,0.0887009894050416,-1.2464823247976642
TP,0.563991,short,118492.7859396779,118665.4,2025-07-13 21:40:00+00:00,False,1.0,TrendStrategy,trend,ASIA,3.4333240229338227,0.0
SL,-2.751598,long,118944.0127985301,119025.5,2025-07-14 00:02:00+00:00,False,1.0,TrendStrategy,trend,ASIA,1.2100059668440424,-1.5401191565813221
TP,0.702532,long,119448.35868979804,119264.7,2025-07-14 02:23:00+00:00,False,1.0,TrendStrategy,trend,ASIA,6.295155438990612,0.0
SL,-0.559789,long,120787.52882289869,120757.3,2025-07-14 03:47:00+00:00,False,1.0,TrendStrategy,trend,ASIA,1.9157999075242114,0.0
TP,1.652072,long,121784.81585192875,121482.7,2025-07-14 05:22:00+00:00,False,1.0,TrendStrategy,trend,ASIA,3.9741046103171427,-0.9575134775390441
TP,1.628601,long,122816.62486600518,122516.5,2025-07-14 07:38:00+00:00,False,1.0,TrendStrategy,trend,ASIA,7.270573841630021,0.0
SL,-3.09773,short,122254.93554427018,122185.0,2025-07-14 09:13:00+00:00,False,1.0,TrendStrategy,trend,EU,0.0,-1.189666869232917
SL,-3.55337,short,121649.0710766022,121591.9,2025-07-14 11:18:00+00:00,False,1.0,TrendStrategy,trend,EU,0.6314381702337611,-1.3660753766003422
SL,-2.241704,short,121406.42887540041,121289.1,2025-07-14 13:37:00+00:00,False,1.0,TrendStrategy,trend,US,1.0261753518827292,-2.426512646852067
SL,-1.686824,short,121021.84596831555,120810.4,2025-07-14 14:55:00+00:00,False,1.0,TrendStrategy,trend,US,0.8579023825570038,-1.517645394501427
SL,-0.892622,short,119483.0,119483.0,2025-07-14 16:21:00+00:00,False,1.0,TrendStrategy,trend,US,1.5669790847609069,-0.0031127911894337007
SL,-0.963443,short,119692.79045776233,119757.1,2025-07-14 19:00:00+00:00,False,1.0,TrendStrategy,trend,US,1.8401198804045016,0.0
SL,0.185467,long,120322.13109816318,120161.4,2025-07-14 20:56:00+00:00,False,1.0,TrendStrategy,trend,US,2.8493181957532423,-0.4051001974845882
SL,-2.709661,long,120052.63583895328,120136.9,2025-07-14 22:32:00+00:00,False,1.0,TrendStrategy,trend,ASIA,1.3659425142344348,-1.3149125158744728
SL,-3.463305,short,119680.60244428516,119622.3,2025-07-15 00:23:00+00:00,False,1.0,TrendStrategy,trend,ASIA,1.1097304888890047,-1.5522505292806714
SL,-1.781331,short,118777.62354938123,118595.2,2025-07-15 02:03:00+00:00,False,1.0,TrendStrategy,trend,ASIA,0.5695536587925213,-1.1561007376261254
SL,0.163582,short,117416.01323928704,117587.6,2025-07-15 03:22:00+00:00,False,1.0,TrendStrategy,trend,ASIA,2.4286123218020323,-0.6231448209364351
SL,-2.307459,short,117255.41827103333,117147.8,2025-07-15 05:54:00+00:00,False,1.0,TrendStrategy,trend,ASIA,1.0555828383902424,-1.4913824433241656
TP,1.422338,short,116497.05002161104,116748.7,2025-07-15 07:50:00+00:00,False,1.0,TrendStrategy,trend,ASIA,3.470216868646884,-0.21108684506984135
SL,-0.875313,long,117108.29012473031,117026.4,2025-07-15 09:16:00+00:00,False,1.0,TrendStrategy,trend,EU,2.471901053905682,0.0
TP,0.62898,short,116627.50857324914,116801.7,2025-07-15 11:16:00+00:00,False,1.0,TrendStrategy,trend,EU,4.254629598160403,0.0
