reason,R,side,exit,entry,time,partial,partial_pct,strategy,regime,session,mfe_R,mae_R
SL,-1.44328,long,118294.95491617692,118401.7,2025-07-13 13:04:00+00:00,False,1.0,TrendStrategy,trend,EU,1.016440252928549,-1.1522778904166961
SL,-1.533501,long,119246.29333723143,119335.7,2025-07-13 19:34:00+00:00,False,1.0,TrendStrategy,trend,US,0.4563418288591987,-2.3588846006469484
SL,-1.357007,short,118461.12690870842,118328.4,2025-07-13 22:16:00+00:00,False,1.0,TrendStrategy,trend,ASIA,0.0971920473815343,-0.9357559910692355
SL,-1.386271,long,119289.47060108394,119413.0,2025-07-14 00:28:00+00:00,False,1.0,TrendStrategy,trend,ASIA,0.0,-1.8554287644170067
SL,-1.308617,long,119620.55916477706,119775.6,2025-07-14 02:35:00+00:00,False,1.0,TrendStrategy,trend,ASIA,0.0,-0.8746082914544716
SL,-1.322019,long,121155.80456512452,121306.3,2025-07-14 05:02:00+00:00,False,1.0,TrendStrategy,trend,ASIA,0.43855150858631536,-1.0983721874139274
SL,1.937308,long,122997.074369714,122679.8,2025-07-14 07:38:00+00:00,False,1.0,TrendStrategy,trend,ASIA,3.7477790327324567,0.0
SL,-1.202897,short,121416.56570112088,121177.2,2025-07-14 14:29:00+00:00,False,1.0,TrendStrategy,trend,US,0.0,-1.1605672771793902
SL,-1.473135,short,119858.4311906725,119757.1,2025-07-14 19:03:00+00:00,False,1.0,TrendStrategy,trend,US,1.4950974028286577,-0.7667925293715007
SL,-1.41884,short,119414.04259167353,119300.0,2025-07-15 00:43:00+00:00,False,1.0,TrendStrategy,trend,ASIA,0.03682834578172857,-1.2626861410887118
SL,0.380862,short,117506.7604115399,117641.1,2025-07-15 03:19:00+00:00,False,1.0,TrendStrategy,trend,ASIA,1.8359131236405004,-0.27647717823942286
SL,-1.33966,short,117172.18755293332,117034.2,2025-07-15 05:40:00+00:00,False,1.0,TrendStrategy,trend,ASIA,0.0,-1.242141021827029
SL,-1.481198,short,116596.82206836897,116499.9,2025-07-15 11:18:00+00:00,False,1.0,TrendStrategy,trend,EU,0.0,-0.8223101440282671
SL,-1.15448,long,118088.4293922695,118394.2,2025-07-15 13:46:00+00:00,False,1.0,TrendStrategy,trend,US,0.0,-1.3215789542341179
SL,-1.227442,long,117354.40979679205,117560.8,2025-07-15 16:56:00+00:00,False,1.0,TrendStrategy,trend,US,0.5601041047646886,-1.1647839687322334
SL,-1.306235,short,116483.9495641088,116331.8,2025-07-15 19:53:00+00:00,False,1.0,TrendStrategy,trend,US,0.0,-0.8925428133523667
SL,-1.514519,long,117637.74543186012,117729.2,2025-07-15 22:46:00+00:00,False,1.0,TrendStrategy,trend,ASIA,0.0,-0.9862820615154857
SL,-1.435713,long,117947.81983155225,118056.1,2025-07-16 01:11:00+00:00,False,1.0,TrendStrategy,trend,ASIA,1.3668246191489175,-1.128553840946038
SL,-1.525375,long,117813.10166514113,117902.8,2025-07-16 05:27:00+00:00,False,1.0,TrendStrategy,trend,ASIA,1.1092736577167235,-0.9676879747720083
SL,-1.424337,long,118610.3923434659,118722.2,2025-07-16 08:40:00+00:00,False,1.0,TrendStrategy,trend,EU,0.0,-1.0482287495601958
SL,-1.278277,long,118650.24986818334,118820.8,2025-07-16 14:54:00+00:00,False,1.0,TrendStrategy,trend,US,1.0038104232251523,0.0
SL,0.870688,long,119732.40267595627,119559.9,2025-07-16 18:45:00+00:00,False,1.0,TrendStrategy,trend,US,2.2925409890848076,-0.38500154982795076
SL,0.660038,short,118222.21173055524,118367.9,2025-07-17 01:39:00+00:00,False,1.0,TrendStrategy,trend,ASIA,2.128368732050589,0.0
SL,-1.432356,short,118123.68382566962,118014.4,2025-07-17 07:32:00+00:00,False,1.0,TrendStrategy,trend,ASIA,1.1904780895325948,-1.0431552821423897
SL,-1.471609,short,117564.71376998763,117465.0,2025-07-17 12:30:00+00:00,False,1.0,TrendStrategy,trend,EU,0.0,-2.0849678036021193
SL,-1.334716,long,118849.5698586482,118991.6,2025-07-17 15:49:00+00:00,False,1.0,TrendStrategy,trend,US,0.6752087908048948,-0.6590150450401034
SL,-1.373029,long,118983.5136285374,119111.1,2025-07-17 17:53:00+00:00,False,1.0,TrendStrategy,trend,US,0.0,-0.6129181283514455
SL,0.735994,long,119835.31271940205,119671.0,2025-07-17 21:09:00+00:00,False,1.0,TrendStrategy,trend,ASIA,2.004119043108349,-0.003162068543875648
SL,0.541707,long,120200.74590301093,120071.5,2025-07-18 01:15:00+00:00,False,1.0,TrendStrategy,trend,ASIA,2.050947951051623,0.0
SL,0.38916,short,119776.12522085878,119869.7,2025-07-18 07:42:00+00:00,False,1.0,TrendStrategy,trend,ASIA,1.7308545348250985,0.0
TP,3.019654,short,117331.54527237828,118164.3,2025-07-18 14:42:00+00:00,False,1.0,TrendStrategy,trend,US,2.7624940738193393,-0.3842668067630138
SL,-1.427684,short,117318.62459477043,117208.9,2025-07-18 19:04:00+00:00,False,1.0,TrendStrategy,trend,US,0.5568487186288762,-1.6978873368343057
SL,-0.051452,short,117530.75425522627,117572.8,2025-07-19 21:20:00+00:00,False,1.0,TrendStrategy,trend,ASIA,1.6016031145339171,-0.8753910942956721
SL,1.180765,long,118572.65700782691,118448.0,2025-07-20 14:06:00+00:00,False,1.0,TrendStrategy,trend,US,3.290267130727566,0.0
SL,-1.467819,short,118129.40444348764,118028.4,2025-07-20 18:01:00+00:00,False,1.0,TrendStrategy,trend,US,0.8702587427329286,-1.0484687241801005
SL,-1.743071,short,118049.84697858836,117986.3,2025-07-20 20:07:00+00:00,False,1.0,TrendStrategy,trend,US,1.4304377960882422,-0.4217352358104002
TP,2.889387,short,116802.27073936752,117283.6,2025-07-20 22:14:00+00:00,False,1.0,TrendStrategy,trend,ASIA,2.7158124529605594,-0.6541883607620642
SL,0.517736,short,116637.27290779,116750.1,2025-07-21 00:22:00+00:00,False,1.0,TrendStrategy,trend,ASIA,2.090592394631817,0.0
SL,-1.386165,long,117822.15656965243,117944.2,2025-07-21 02:37:00+00:00,False,1.0,TrendStrategy,trend,ASIA,0.45721428708691747,-1.1815465985291886
SL,0.012728,long,118622.95341276038,118574.6,2025-07-21 06:23:00+00:00,False,1.0,TrendStrategy,trend,ASIA,2.1170869456504127,0.0
SL,0.149336,short,117872.74355168574,117933.9,2025-07-21 12:04:00+00:00,False,1.0,TrendStrategy,trend,EU,1.797487891094977,-0.0373143986882132
SL,-1.277662,long,118884.2354351632,119055.5,2025-07-21 14:25:00+00:00,False,1.0,TrendStrategy,trend,US,0.0,-1.4515553771259488
SL,-1.35084,short,117496.76054738577,117362.8,2025-07-21 17:48:00+00:00,False,1.0,TrendStrategy,trend,US,0.11421273127485393,-1.2048323416834805
SL,-1.424637,short,117136.74071310498,117026.4,2025-07-22 00:45:00+00:00,False,1.0,TrendStrategy,trend,ASIA,0.0,-1.0404137944148286
SL,-1.404741,short,117114.74292613006,116999.0,2025-07-22 02:54:00+00:00,False,1.0,TrendStrategy,trend,ASIA,0.0,-1.4825960059725258
SL,-1.331324,short,116640.81787612393,116500.0,2025-07-22 05:00:00+00:00,False,1.0,TrendStrategy,trend,ASIA,0.0,-1.349970651685698
SL,-1.455345,long,117792.12484794609,117895.6,2025-07-22 07:02:00+00:00,False,1.0,TrendStrategy,trend,ASIA,0.0,-1.6815631245397034
SL,0.628068,long,118514.06458851017,118404.0,2025-07-22 09:47:00+00:00,False,1.0,TrendStrategy,trend,EU,2.1280077945306997,-0.07718162985341484
TP,3.005275,short,117687.69484583093,118461.3,2025-07-22 14:03:00+00:00,False,1.0,TrendStrategy,trend,US,3.3840519105795273,0.0
SL,0.664783,long,120012.83098106642,119862.4,2025-07-22 18:57:00+00:00,False,1.0,TrendStrategy,trend,US,2.2015384146267127,0.0
SL,-1.363924,short,118110.31857868553,117980.5,2025-07-23 13:04:00+00:00,False,1.0,TrendStrategy,trend,EU,1.4743652406149732,-1.1585398755929475
SL,-1.331619,short,117445.46302724419,117303.8,2025-07-23 17:22:00+00:00,False,1.0,TrendStrategy,trend,US,0.06917824778028187,-1.5558046745682848
SL,-1.322799,short,117529.03757315688,117383.4,2025-07-23 21:30:00+00:00,False,1.0,TrendStrategy,trend,ASIA,0.0,-1.8882489871192853
SL,2.629067,short,118372.5894718366,118663.8,2025-07-24 04:01:00+00:00,False,1.0,TrendStrategy,trend,ASIA,4.453625297421046,-0.4614261988129533
SL,-1.520039,short,117516.19037296668,117425.8,2025-07-24 06:50:00+00:00,False,1.0,TrendStrategy,trend,ASIA,0.0,-1.0144885676464759
SL,-1.286917,short,118363.81466712842,118198.8,2025-07-24 14:04:00+00:00,False,1.0,TrendStrategy,trend,US,0.4526870326130694,-0.9162821864939418
SL,-1.393431,short,118056.72774066876,117936.7,2025-07-25 00:26:00+00:00,False,1.0,TrendStrategy,trend,ASIA,0.21245088725255232,-0.5540385883252835
SL,-1.353241,short,116709.1582774973,116577.0,2025-07-25 02:49:00+00:00,False,1.0,TrendStrategy,trend,ASIA,1.1993195053804733,-1.0003157010176347
SL,-1.2411,short,115491.70797350368,115300.1,2025-07-25 05:17:00+00:00,False,1.0,TrendStrategy,trend,ASIA,0.0,-1.2134150565270754
SL,1.094953,short,114924.0458217683,115105.5,2025-07-25 07:53:00+00:00,False,1.0,TrendStrategy,trend,ASIA,2.8399285061652124,0.0
SL,0.635037,long,116146.7993426308,116014.2,2025-07-25 10:02:00+00:00,False,1.0,TrendStrategy,trend,EU,2.106944312554962,0.0
SL,-1.2229,short,115766.64677706163,115558.9,2025-07-25 13:44:00+00:00,False,1.0,TrendStrategy,trend,US,0.0,-0.6791922454621192
SL,-1.455139,long,116309.48115083274,116411.7,2025-07-25 18:27:00+00:00,False,1.0,TrendStrategy,trend,US,0.0,-1.0213380492004025
SL,0.225078,long,117073.13947491076,117002.8,2025-07-25 20:43:00+00:00,False,1.0,TrendStrategy,trend,US,1.6121957128757387,0.0
SL,-1.809395,long,117614.87516696773,117673.0,2025-07-26 02:35:00+00:00,False,1.0,TrendStrategy,trend,ASIA,1.161293658470004,-1.8047363670147651
SL,-1.533867,long,118031.06519351524,118119.5,2025-07-26 10:47:00+00:00,False,1.0,TrendStrategy,trend,EU,0.664896575650178,-0.8763517791307184
SL,0.381135,long,118877.0190618566,118800.0,2025-07-27 16:04:00+00:00,False,1.0,TrendStrategy,trend,US,2.225901091160162,-0.4087069987255764
SL,0.897335,long,119654.48391664693,119524.7,2025-07-27 22:11:00+00:00,False,1.0,TrendStrategy,trend,ASIA,2.371434166161784,0.0
SL,-0.571141,long,119650.0,119650.0,2025-07-28 02:38:00+00:00,False,1.0,TrendStrategy,trend,ASIA,1.5788129972629972,-0.3210133758606538
