reason,R,side,exit,entry,time,partial,partial_pct,strategy,regime,session,mfe_R,mae_R
SL,-1.40525,long,118284.94756456852,118401.7,2025-07-13 13:04:00+00:00,False,1.0,TrendStrategy,trend,EU,0.9293168026775307,-1.0535112140952652
SL,-1.487738,long,119237.91146259688,119335.7,2025-07-13 19:34:00+00:00,False,1.0,TrendStrategy,trend,US,0.4172268149569817,-2.1566944920200672
SL,-1.319103,long,119660.80345334619,119810.8,2025-07-14 02:35:00+00:00,False,1.0,TrendStrategy,trend,ASIA,0.24867239167904615,-1.1386928820047852
SL,-1.132381,long,122052.90655065999,122421.7,2025-07-14 05:49:00+00:00,False,1.0,TrendStrategy,trend,ASIA,0.10249639755708767,-1.4216629957454292
SL,-1.18554,short,121439.00623560097,121177.2,2025-07-14 14:29:00+00:00,False,1.0,TrendStrategy,trend,US,0.0,-1.0610900819925855
SL,1.023454,short,119422.068187412,119705.2,2025-07-14 16:20:00+00:00,False,1.0,TrendStrategy,trend,US,2.0607093034174633,-0.7618406202969782
SL,-1.407586,short,116502.63434492408,116388.3,2025-07-15 11:30:00+00:00,False,1.0,TrendStrategy,trend,EU,0.2431465367511684,-1.1099027163208137
SL,-0.219704,long,117777.8,117777.8,2025-07-15 13:19:00+00:00,False,1.0,TrendStrategy,trend,US,1.394392586056231,-0.09840027948426283
SL,1.75539,short,115969.17777553269,116489.9,2025-07-15 14:57:00+00:00,False,1.0,TrendStrategy,trend,US,2.901382513122035,0.0
SL,-1.207913,long,117335.06071524131,117560.8,2025-07-15 16:56:00+00:00,False,1.0,TrendStrategy,trend,US,0.5120951814991439,-1.0649453428408993
TP,2.679555,short,116364.23949553825,116800.0,2025-07-15 18:36:00+00:00,False,1.0,TrendStrategy,trend,US,3.7864835915730035,0.0
SL,1.832965,long,119005.35557707676,118700.1,2025-07-16 09:24:00+00:00,False,1.0,TrendStrategy,trend,EU,2.7161519396776064,-0.18567722793505367
SL,0.639293,long,118987.64824360842,118820.8,2025-07-16 14:58:00+00:00,False,1.0,TrendStrategy,trend,US,1.9347139211853552,0.0
SL,-1.315147,long,119470.26246052026,119621.9,2025-07-16 17:40:00+00:00,False,1.0,TrendStrategy,trend,US,0.0,-1.025471664427622
SL,0.521296,long,119795.39721374455,119677.4,2025-07-16 20:46:00+00:00,False,1.0,TrendStrategy,trend,US,1.6476682191281231,0.0
SL,-1.290729,long,118862.06355929824,119025.6,2025-07-17 09:57:00+00:00,False,1.0,TrendStrategy,trend,EU,0.6597917842468206,-1.2449824585047615
SL,-1.305992,long,118836.25453289648,118991.6,2025-07-17 15:51:00+00:00,False,1.0,TrendStrategy,trend,US,0.6173337515930467,-1.0415495412696854
SL,0.926846,long,119288.15438112228,119111.1,2025-07-17 18:11:00+00:00,False,1.0,TrendStrategy,trend,US,2.028698541600445,-0.5603822887784645
SL,0.990657,short,118582.23027780361,118779.3,2025-07-18 08:53:00+00:00,False,1.0,TrendStrategy,trend,EU,2.3979130798135415,0.0
SL,0.450462,short,118770.56938645044,118884.1,2025-07-18 13:39:00+00:00,False,1.0,TrendStrategy,trend,US,1.7432438574434994,0.0
SL,-1.39106,short,117328.91127553016,117208.9,2025-07-18 19:04:00+00:00,False,1.0,TrendStrategy,trend,US,0.5091188284606869,-1.5523541365342226
SL,0.863341,long,118631.03711751227,118517.3,2025-07-20 14:09:00+00:00,False,1.0,TrendStrategy,trend,US,2.6349044611714394,-0.3086862863556824
SL,0.109454,short,117964.67178295282,118018.3,2025-07-20 20:06:00+00:00,False,1.0,TrendStrategy,trend,US,2.088051527684884,0.0
TP,2.716041,short,116790.04948860928,117283.6,2025-07-20 22:16:00+00:00,False,1.0,TrendStrategy,trend,ASIA,4.604999787348413,-0.5981150726967444
TP,2.564919,long,117898.57698308438,117573.4,2025-07-21 02:11:00+00:00,False,1.0,TrendStrategy,trend,ASIA,3.0205089877014366,0.0
SL,-1.281985,long,119011.18101714338,119180.0,2025-07-21 06:44:00+00:00,False,1.0,TrendStrategy,trend,ASIA,0.20850735743320958,-1.3085021379829145
SL,0.300855,short,117859.31310772501,117937.4,2025-07-21 12:04:00+00:00,False,1.0,TrendStrategy,trend,EU,1.6732999230063208,0.0
SL,0.736536,long,118873.2029221803,118691.2,2025-07-21 13:56:00+00:00,False,1.0,TrendStrategy,trend,US,1.8373178476893173,0.0
TP,2.719133,short,117540.51036994033,118042.7,2025-07-21 16:20:00+00:00,False,1.0,TrendStrategy,trend,US,3.186445725312632,-0.2556803094176817
SL,-1.320802,short,117509.31934870318,117362.8,2025-07-21 17:48:00+00:00,False,1.0,TrendStrategy,trend,US,0.10442306859415217,-1.101560998110611
SL,-1.265265,short,117003.73309065161,116827.3,2025-07-21 20:15:00+00:00,False,1.0,TrendStrategy,trend,US,1.0400543306377121,-1.2446644741582151
SL,0.691303,long,118526.8440149464,118404.0,2025-07-22 09:47:00+00:00,False,1.0,TrendStrategy,trend,EU,1.9456071264280685,-0.070566061580265
TP,2.805013,short,117948.11618342207,118674.0,2025-07-22 14:00:00+00:00,False,1.0,TrendStrategy,trend,US,3.180261010478341,0.0
SL,0.747767,long,120036.42710843313,119862.4,2025-07-22 18:57:00+00:00,False,1.0,TrendStrategy,trend,US,2.012835121944423,0.0
SL,-1.298667,short,118000.33605895356,117842.3,2025-07-23 13:03:00+00:00,False,1.0,TrendStrategy,trend,EU,0.3366320341842393,-1.5540757066851647
SL,-1.303229,short,117458.74393604833,117303.8,2025-07-23 17:22:00+00:00,False,1.0,TrendStrategy,trend,US,0.06324868368482914,-1.4224499881767176
SL,-1.357015,long,118542.78451272285,118675.6,2025-07-24 08:21:00+00:00,False,1.0,TrendStrategy,trend,EU,0.665585029368768,-1.2799712103246381
SL,1.26218,short,118010.04128854282,118283.9,2025-07-24 14:16:00+00:00,False,1.0,TrendStrategy,trend,US,2.55604921773117,-0.7567910428969244
SL,-1.277227,long,116132.43678100243,116300.0,2025-07-25 10:05:00+00:00,False,1.0,TrendStrategy,trend,EU,0.0,-1.2878721314319785
SL,-1.202459,short,115794.87673259663,115566.1,2025-07-25 13:47:00+00:00,False,1.0,TrendStrategy,trend,US,0.03147173192960323,-1.2702340692677272
