reason,R,side,exit,entry,time,partial,partial_pct,strategy,regime,session,mfe_R,mae_R
SL,-1.44328,long,118294.95491617692,118401.7,2025-07-13 13:04:00+00:00,False,1.0,TrendStrategy,trend,EU,1.016440252928549,-1.1522778904166961
SL,-1.582202,long,118797.68038860714,118879.3,2025-07-13 18:46:00+00:00,False,1.0,TrendStrategy,trend,US,1.1994666273129784,-1.4126506856915026
SL,-1.357007,short,118461.12690870842,118328.4,2025-07-13 22:31:00+00:00,False,1.0,TrendStrategy,trend,ASIA,0.31719265075686753,-1.401373706432057
SL,-1.349056,long,119673.66030020223,119810.8,2025-07-14 02:34:00+00:00,False,1.0,TrendStrategy,trend,ASIA,0.27198542839895673,-1.0901292639582
SL,0.088312,long,122168.70635535322,122097.3,2025-07-14 05:48:00+00:00,False,1.0,TrendStrategy,trend,ASIA,1.41917797773024,-0.07836432787025133
SL,0.859022,short,120830.35857249128,121108.4,2025-07-14 14:51:00+00:00,False,1.0,TrendStrategy,trend,US,1.792765862100787,0.0
SL,-1.459728,short,119736.38011148231,119632.2,2025-07-14 19:01:00+00:00,False,1.0,TrendStrategy,trend,US,0.25532704487943253,-1.3140703926318802
SL,-1.41884,short,119414.04259167353,119300.0,2025-07-15 00:43:00+00:00,False,1.0,TrendStrategy,trend,ASIA,0.03682834578172857,-1.2626861410887118
SL,0.931633,short,117380.51158437617,117641.1,2025-07-15 03:22:00+00:00,False,1.0,TrendStrategy,trend,ASIA,2.220103019585248,-0.27647717823942286
SL,-1.33966,short,117172.18755293332,117034.2,2025-07-15 05:40:00+00:00,False,1.0,TrendStrategy,trend,ASIA,0.0,-1.242141021827029
SL,0.739162,short,116455.6269251352,116570.1,2025-07-15 11:28:00+00:00,False,1.0,TrendStrategy,trend,EU,2.282021707805183,-0.1034313274052893
SL,-1.15448,long,118088.4293922695,118394.2,2025-07-15 13:46:00+00:00,False,1.0,TrendStrategy,trend,US,0.0,-1.3215789542341179
SL,0.263247,short,116718.35260110481,116800.0,2025-07-15 18:32:00+00:00,False,1.0,TrendStrategy,trend,US,1.5873111328764777,0.0
